insee_com;annee;nb_mutations;nb_maisons;nb_apparts;prop_maison;prop_appart;prix_moyen;prix_m2_moyen;surface_moy;dep_code
77401;2024;12;12.0;0.0;0.0;100.0;186583;2171;85;77
77402;2024;1;1.0;0.0;0.0;100.0;75000;605;124;77
77403;2024;11;11.0;0.0;0.0;100.0;181659;1801;103;77
77404;2024;16;16.0;0.0;0.0;100.0;196112;2028;98;77
77405;2024;19;18.0;1.0;5.0;95.0;191142;1924;96;77
77406;2024;12;12.0;0.0;0.0;100.0;212967;1832;115;77
77407;2024;173;115.0;58.0;34.0;66.0;271051;2994;92;77
77408;2024;4;4.0;0.0;0.0;100.0;214500;2102;98;77
77409;2024;20;20.0;0.0;0.0;100.0;197672;2335;89;77
77411;2024;7;7.0;0.0;0.0;100.0;232604;2021;116;77
77412;2024;2;2.0;0.0;0.0;100.0;340600;3434;103;77
77413;2024;53;39.0;14.0;26.0;74.0;302707;3567;88;77
77414;2024;3;3.0;0.0;0.0;100.0;123500;1455;84;77
77415;2024;16;16.0;0.0;0.0;100.0;263498;2627;99;77
77416;2024;6;6.0;0.0;0.0;100.0;208383;2071;99;77
77417;2024;5;5.0;0.0;0.0;100.0;240080;2015;131;77
77418;2024;9;9.0;0.0;0.0;100.0;172756;1954;86;77
77419;2024;36;32.0;4.0;11.0;89.0;219824;2609;87;77
77420;2024;43;30.0;13.0;30.0;70.0;255549;3334;80;77
77421;2024;2;2.0;0.0;0.0;100.0;192500;1874;103;77
77423;2024;9;9.0;0.0;0.0;100.0;199428;2071;97;77
77424;2024;3;3.0;0.0;0.0;100.0;190409;1350;146;77
77425;2024;4;4.0;0.0;0.0;100.0;473425;3412;146;77
77426;2024;5;5.0;0.0;0.0;100.0;228000;3198;83;77
77427;2024;2;2.0;0.0;0.0;100.0;285980;2407;121;77
77428;2024;7;7.0;0.0;0.0;100.0;253681;2569;103;77
77429;2024;8;8.0;0.0;0.0;100.0;259742;1729;154;77
77430;2024;52;44.0;8.0;15.0;85.0;262886;2670;100;77
77431;2024;52;46.0;6.0;12.0;88.0;214998;2383;93;77
77432;2024;10;10.0;0.0;0.0;100.0;212910;1978;109;77
77433;2024;11;11.0;0.0;0.0;100.0;250234;2814;99;77
77434;2024;10;10.0;0.0;0.0;100.0;204893;2638;85;77
77435;2024;9;9.0;0.0;0.0;100.0;412152;3046;147;77
77436;2024;11;10.0;1.0;9.0;91.0;168561;1740;101;77
